Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2019 Dec,10298,339505,133278,13536,76603,40733,38451,272742,44954,20723,69706,49219,13812,115193,1976,10983,581,2032,729,1344,7174,14314,76133,2536,2844,3263,13745,34026,11129,7148,2860,2006,9629,4942,6391,8986,54172,117796,13501,637,2920,8596,63815
  2019 Nov,6366,266774,111473,12598,72701,40986,45125,248636,40383,28548,72765,52765,11040,113717,1474,9755,698,2009,450,999,6406,11355,63363,2820,2800,2775,15407,37191,6074,8111,2584,2201,8171,4946,3908,8759,48343,89052,9615,474,1410,3042,55599
  2019 Oct,4687,251936,97378,13824,73812,63335,41501,258611,36073,34588,80106,56598,12810,116182,1370,8108,738,2982,357,909,5338,8869,52674,2576,3168,2843,16369,28485,5655,7566,2633,2117,5569,4798,3677,8629,48679,97092,13233,402,773,3087,50342
  2019 Sep,6356,237637,98438,11742,62660,39776,44012,248568,35351,33138,80823,51660,10698,105075,1474,8314,1083,2160,382,959,5312,7996,49493,2677,2878,2210,15137,26979,6993,8423,1975,1945,4385,6479,2307,6753,49918,109506,15783,414,625,4257,50792
  2019 Aug,5156,228095,100225,11942,66587,39919,59034,397070,52768,45776,108104,65643,11808,108736,1547,9693,798,1937,2110,2490,11049,11130,54865,4092,2781,1226,28953,27209,21699,12792,2106,2093,4059,12701,2454,7687,50718,84023,13913,440,943,2815,56916
  2019 Jul,5882,294173,93071,14805,68893,51916,78515,389503,50820,55340,71410,59119,12564,112026,2581,7768,413,1866,1663,2489,9561,10260,71343,4483,5408,1992,21953,23843,7418,11757,5103,2722,4030,6997,4199,9690,43869,107383,17922,705,1180,2900,53058
  2019 Jun,5276,311036,102074,12899,73977,35558,72441,266107,36226,34189,56709,45706,13393,144118,2698,7221,388,1502,932,2204,6917,7436,67088,1860,1881,1867,11822,17574,4404,5341,2319,2108,3535,3746,2612,5089,32813,87793,14219,493,802,3428,42046
  2019 May,5370,215825,106518,13300,89800,45735,49071,283445,36429,28308,59138,43561,9595,182727,856,6772,212,1523,130,378,5297,11015,51455,1967,1850,1483,14413,18753,4775,6589,1791,1623,5276,3374,2402,6347,34740,80476,12791,198,590,2560,39333
  2019 Apr,5159,240868,95076,16252,83453,57010,45613,302098,52206,32924,65212,39464,11091,120225,1293,10438,323,2071,514,1019,7716,11429,54189,3530,3286,2148,17974,33428,6381,7791,3405,2026,6112,4865,3920,9929,56004,107503,14142,415,1192,3422,53608
  2019 Mar,7996,249164,106200,13499,59383,45072,41153,300209,34355,29032,84048,47168,10894,106506,1419,7044,1864,1945,522,952,7546,15968,65415,2800,3562,3106,19099,44963,7201,8288,2811,2115,8585,4274,4849,8336,66796,73841,8108,314,846,3219,54197
