YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,PW6,269,21
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,SE5,1757,726
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,TE29,1444,2102
2024-12,WEEKDAY,11,TRAIN,BP9,2998,1481
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,EW26,18041,9111
2024-12,WEEKDAY,7,TRAIN,EW9,49400,19008
2024-12,WEEKENDS/HOLIDAY,13,TRAIN,CG1/DT35,8072,11835
2024-12,WEEKDAY,6,TRAIN,TE3,10748,8032
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,NS3,12627,7561
2024-12,WEEKDAY,16,TRAIN,EW1,24861,29844
2024-12,WEEKENDS/HOLIDAY,16,TRAIN,DT2,779,1025
2024-12,WEEKDAY,11,TRAIN,CC27,3878,4101
2024-12,WEEKENDS/HOLIDAY,20,TRAIN,NS28,1064,538
2024-12,WEEKENDS/HOLIDAY,13,TRAIN,CC16,4258,2509
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,NE10,87,195
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,EW24/NS1,13792,19655
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,PE6,3626,3911
2024-12,WEEKDAY,12,TRAIN,PW1,1902,2913
2024-12,WEEKDAY,20,TRAIN,EW26,17969,48352
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,NS25/EW13,62714,43092
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,CC19/DT9,3398,5886
2024-12,WEEKDAY,9,TRAIN,DT18,4178,69983
2024-12,WEEKDAY,17,TRAIN,DT5,19954,22510
2024-12,WEEKDAY,12,TRAIN,PE7,4409,2937
2024-12,WEEKDAY,21,TRAIN,CC2,4473,2417
2024-12,WEEKDAY,18,TRAIN,CC14,13838,13413
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,DT21,3424,4152
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,TE23,1117,1380
2024-12,WEEKENDS/HOLIDAY,20,TRAIN,CC25,1752,2575
2024-12,WEEKDAY,13,TRAIN,CE1/DT16,27131,48146
2024-12,WEEKDAY,5,TRAIN,BP11,3952,224
2024-12,WEEKDAY,18,TRAIN,PE7,5084,9642
2024-12,WEEKDAY,7,TRAIN,CC26,5829,19056
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,BP10,502,1675
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,BP11,1204,160
2024-12,WEEKDAY,23,TRAIN,TE15,2636,1742
2024-12,WEEKENDS/HOLIDAY,5,TRAIN,TE11,28,4
2024-12,WEEKENDS/HOLIDAY,16,TRAIN,TE27,2877,2789
2024-12,WEEKDAY,17,TRAIN,CC2,10926,4382
2024-12,WEEKENDS/HOLIDAY,8,TRAIN,CC20,2386,2285
2024-12,WEEKDAY,14,TRAIN,CC24,17730,18049
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,SE5,1565,1027
2024-12,WEEKDAY,18,TRAIN,TE5,10283,12381
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,EW8/CC9,5752,5484
2024-12,WEEKDAY,13,TRAIN,PE6,8605,8461
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,NE17/PTC,22522,27785
2024-12,WEEKDAY,19,TRAIN,DT28,15519,19568
2024-12,WEEKDAY,10,TRAIN,NS10,41743,17277
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,EW20,3866,4052
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,CC21,1568,1307
2024-12,WEEKENDS/HOLIDAY,5,TRAIN,PE3,354,80
2024-12,WEEKENDS/HOLIDAY,16,TRAIN,TE3,5140,3856
2024-12,WEEKDAY,6,TRAIN,TE7,3270,1956
2024-12,WEEKDAY,15,TRAIN,TE13,5248,4425
2024-12,WEEKDAY,22,TRAIN,CC19/DT9,2871,2489
2024-12,WEEKDAY,8,TRAIN,BP3,12867,2126
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,CC8,1601,742
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,CC11,3168,3452
2024-12,WEEKDAY,8,TRAIN,NE15,71802,11401
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,TE3,3387,5153
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,PW6,787,698
2024-12,WEEKENDS/HOLIDAY,14,TRAIN,NE16/STC,24105,22206
2024-12,WEEKDAY,5,TRAIN,NE17/PTC,9091,2200
2024-12,WEEKDAY,21,TRAIN,DT7,1720,3639
2024-12,WEEKDAY,16,TRAIN,TE8,9749,9458
2024-12,WEEKDAY,23,TRAIN,CC26,963,879
2024-12,WEEKDAY,8,TRAIN,NS17/CC15,106134,24124
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,CC5,2878,2833
2024-12,WEEKDAY,15,TRAIN,NS7,17330,18119
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,TE16,3798,3784
2024-12,WEEKDAY,11,TRAIN,DT6,7486,4778
2024-12,WEEKENDS/HOLIDAY,13,TRAIN,CE1/DT16,24394,37438
2024-12,WEEKDAY,18,TRAIN,CE1/DT16,61982,68157
2024-12,WEEKDAY,10,TRAIN,DT10,4557,1920
